Application,Hostname,IP Address,OS Type,OS Version,SQL Edition,CPU,RAM (GB),Storage (GB),,,Strategy,Disposition,cmdb:asset_status,cmdb:asset_type,Comments,Phases,current-status,Planned Date,Application,Owner,cmdb:department,cmdb:environment,
All Servers,asidev-eric,10.168.58.93,windows,Microsoft Windows Server 2019 (64-bit),,1,6,160,,,rehost,in_scope,Active,VM,Developer Workstation - Eric Halle,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ASIDEV-JOH,10.168.58.191,windows,Microsoft Windows Server 2019 (64-bit),,4,16,180,,,rehost,in_scope,Active,VM,Developer Workstation - Jeff Oh,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,c-app-dev-01,10.168.50.137,windows,Microsoft Windows Server 2008 R2 (64-bit),,1,4,200,,,HOLD,in_scope,Active,VM,Aggregator Listings - Packaging forms and Broadview - Dependency,Phase 1,Migrate to AWS,,Aggregator Listings,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,c-app-dev-02,10.168.51.72,windows,Microsoft Windows Server 2008 R2 (64-bit),,1,2,95,,,HOLD,in_scope,Active,VM,Aggregator Listings - Packaging forms and Broadview - Dependency,Phase 1,Migrate to AWS,,Aggregator Listings,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,c-app-prod-01,10.168.49.34,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,8,220,,,HOLD,in_scope,Active,VM,Aggregator Listings - Packaging forms and Broadview - Dependency,Phase 1,Migrate to AWS,,Aggregator Listings,Poonam Singh,Information & Knowledge Management,Prod,
All Servers,c-app-prod-02,10.168.49.35,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,8,120,,,HOLD,in_scope,Active,VM,Aggregator Listings - Packaging forms and Broadview - Dependency,Phase 1,Migrate to AWS,,Aggregator Listings,Poonam Singh,Information & Knowledge Management,Prod,
All Servers,c-app-test-01,10.168.50.139,windows,Microsoft Windows Server 2008 R2 (64-bit),,1,4,160,,,HOLD,in_scope,Active,VM,Aggregator Listings - Packaging forms and Broadview - Dependency,Phase 1,Migrate to AWS,,Aggregator Listings,Poonam Singh,Information & Knowledge Management,Test,
All Servers,dataedo-toolbox,10.168.58.149,windows,Microsoft Windows Server 2019 (64-bit),,2,6,80,,,HOLD,in_scope,Active,VM,"Rachel's contractor ohoward@pbs.org, daniellerussell.archivist@gmail.com need access to a tool we use for metadata called Dataedo. The contractor is on a MAC and the app works best with Windows.",Phase 1,Migrate to AWS,,DateEDO apps,Poonam Singh,Information & Knowledge Management,Toolbox,
All Servers,devops-app1-dev,10.168.70.162,windows,Microsoft Windows Server 2019 (64-bit),,2,8,300,,,rehost,in_scope,Active,VM,DevOps Workstation - Murali Rajendran,Phase 1,Migrate to AWS,,,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,esapp-dev-01,10.168.49.206,windows,Microsoft Windows Server 2012 (64-bit),,1,4,120,,,rehost,in_scope,Active,VM,Dev - ASI Enterprise Apps; check with Bryan/Murali,Phase 1,Migrate to AWS,,ASI Enterprise Apps,Murali Rajendran,Applications & Systems Integration,Dev,
